"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"|"predictedCategory"
"Marti"|"Ho prenotato una notte con il mio fidanzato e ho scelto questo posto perchè dovevamo andare ad un evento all'Auditorium del Parco della musica ed era molto vicino (5 minuti a piedi). Ma alla fine si può scegliere anche per andare in centro perchè si trova sopra ad una fermata dell'autobus che ti porta direttamente in centro in una ventina di minuti.è stato molto facile arrivarci dalla stazione dato che è ben descritto il percorso da seguire.La persona alla reception ci ha accolto molto cortesemente dandoci tutte le informazioni che ci servivano e ci ha permesso di fare colazione anche appena arrivati. La camera era bella grande e pulita come pulito era il bagno.La colazione ha un'ampia scelta.. non si va via con la fame!Abbiamo ricevuto un grande servizio a basso prezzo! Siamo stati molto bene."|"Parioli Bed & Business"|"05/07/2019"|"TEST"|"sp"|"ce"
"Matteo C"|"Son stato qui con gli amici!Non sono un esperto di campeggi ma questo devo dire che merita!Personale gentilissimo sin dall arrivo.Pulizia delle strutture davvero molto buona.A due passi dalla spiaggia ed ha pure la piscina per gli ospiti del campeggio.Market superfornito e un buon ristorante.Devo dire che come esperienza e’ stata davvero buona e sicuramente se ne avrò l occasione,ritornerò!"|"Camping Sabbiadoro"|"05/07/2019"|"TEST"|"ce"|"ce"
"Maur0L"|"Durante una visita aziendale vengo ospitato in questo hotel poco fuori Milano. Hotel dall’ottimo aspetto e dalla buona sostanza. Stanze non troppo grandi ed essenziali ma piacevoli nell’aspetto e nelle dotazioni, gradita l’acqua in omaggio per la notte. Variegata la colazione, ottimo il confort termo-acustico, molto cortese il personale. Da apprezzare anche la disponibilità di phon tradizionale e non il classico montato In bagno dalle scarse prestazioni. …"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TEST"|"ce"|"ce"
"Michele M"|"Pulito, in ordine, efficiente. Camera comoda, materasso e cuscini comodi, flat tv ampia, frigo e cassaforte.Personale sorridente e disponibile, colazione continentale.Parcheggio di prossimità gratuiti e sotterraneo a pagamento.Servizi pubblici di fronte, 10 min e siete in centro BO, consigliato.Tutto gradevole."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TEST"|"ce"|"ce"
"olivia17f"|"La vicinanza a Linate è sicuramente positiva ma forse andrebbe rivisto lo shuttle che dovrebbe accompagnare a metro piu decorosein 10 minuti già in centro anche a pagamento.Ineccepibile pulizia,meraviglioso confort del sonno(gradirei conoscere marca cuscini e materassi)ottima colazione ma...frigo bar vuoto senza avviso,assenza di presa in bagno,e...phon nell’armadio del corridoio quindi inutilizzabile.peccato!"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TEST"|"ce"|"ce"
"paco956"|"In prossimità della Fiera, potrete andarci anche a piedi, questo comodo hotel offre tutti i confort: camere comode pulite, ben climatizzate, staff cortese, parcheggio gratuito, buona colazione . Prezzi considerato il tutto ragionevoli. Ci tornerò ancora."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TEST"|"sp"|"ce"
"Paola S"|"Sono stata veramente bene in questo albergo. Mi è stata data una suite al quarto piano con una vista a dir poco spettacolare. Silenzioso (gli ottimi infissi isolano dai rumori della strada), confortevole e con uno staff di grande professionalità e squisita cordialità.La colazione, varia e abbondante, si fa all'esterno, in un bar della piazza, dai cui tavolini si continua a godere della splendida vista."|"Hotel Abruzzi"|"05/07/2019"|"TEST"|"lx"|"ce"
"Polporizzo"|"Ottimo rapporto qualità prezzo, cordialità, disponibilità, pulizia, la colazione pero meglio farla fuori...... specialmente il caffè..... imbevibile.....  non so se per la scarsissima qualità del caffè - marca sconosciuta super economica - o per inefficienza e vetusta della macchina per espresso!  Ma per quello che costa ci può stare"|"Parioli Bed & Business"|"05/07/2019"|"TEST"|"sp"|"sp"
"Pucci T"|"Un campeggio grande e dispersivo. Bagni sporchi e vecchi,macchine e trattori che entrano dalla mattina alla sera che non rispettano le ore di silenzio. 0 silenzio e tanta maleducazione per riposare,insomma una vacanza non molto rilassante. Reception educati e disponibili, ma il resto la gente che ci lavora all’interno da eliminare maleducati e poco comprensivi. Per quello che abbiamo pagato in una piazzola per una tenda stavo comodamente dentro un hotel!"|"Camping Village Capo d'Orso"|"05/07/2019"|"TEST"|"sp"|"so"
"Raffaele M"|"Tutto perfetto in hotel. Degno di un 4 stelle. Niente da recriminare. Tutto nuovo e pulito. Il ristorante merita una nota di merito il personale molto gentile ed efficiente. Il cibo buono e i prezzi abbordabili. Una ottima scelta anche per cenare. posso solo muovere una minuscola critica per i tavoli troppo vicini ma proprio se voglio trovare un difetto quasi impercettibile. Consigliato, molto. Soprattutto il ristorante."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TEST"|"ce"|"sp"
"remal1157"|"È forte il legame che unisce il Monastero Santa Rosa, uno dei più raffinati Luxury hotel non solo della Costiera Amalfitana, e il borgo dove sorge, Conca dei Marini. Paese che quest'anno si è meritato la palma di terzo borgo più bello d'Italia grazie al concorso promosso dalla trasmissione televisiva Rai 'Kilimangiaro'.Mi è capitato di assistere alla grande processione di Sant'Antonio, conclusasi proprio nella chiesa del monastero con grande seguito di popolo. Ad accogliere la processione c'erano all'ingresso il direttore e la proprietaria americana della struttura, a sancire come già era avvenuto per la festa della sfogliatella di Santa Rosa (dolce nato proprio nel monastero, grazie all'abilità pasticciera delle monache di allora) il vincolo forte fra Monastero e borgo. Bello questo ...Il Santa Rosa si è confermato struttura d'ospitalità di prima grandezza. Camere, spa, personale... la possibilità di fare Cooking experience con lo chef Christoph Bob utilizzando le verdura dell'orto, i cocktail d'autore di Ivan Stankovic, i bagni nella nuova piscina il cui orizzonte si confonde con quello del cielo e del mare. Soldi ben spesi quelli di un soggiorno al mitico Santa Rosa, rifugio intimo a picco sul Tirreno a cui ben si addice lo slogan 'il lusso della semplicità'. Oasi ideale per coppie in cerca di un'intimità vera e di un'atmosfera esclusiva ma serena e tutto sommato senza fronzoli. Una volta nella vita (meglio se due o tre) ce la di può permettere..."|"Monastero Santa Rosa Hotel & Spa"|"05/07/2019"|"TEST"|"lx"|"lx"
"Ricky"|"L'hotel è in zona abbastanza servita e raggiungibile. Vanta un bel parcheggio e uno anche custodito a pagamento. Linee moderne e hall centrale. Ristorante e centro congressi. Non ho visto le stanze perchè ho partecipato ad un congresso. Bagni puliti nonostante tantissime persone. Co spigliato per congressi."|"Crowne Plaza Milan Linate"|"05/07/2019"|"TEST"|"ce"|"ce"
"Roberta C"|"Ottima accoglienza e ospitalità in questo bel campeggio in Val Pusteria. Ci sono tutti i servizi necessari e spazio per i ragazzi. Bello anche il mini-zoo. Penso che in estate sia ancora meglio! Ci torneremo sicuramente."|"Camping Olympia"|"05/07/2019"|"TEST"|"so"|"ce"
"Roberto G"|"Allora il Crowne rimane sempre un buon hotel anche se un po’ vecchio. Io ho anche avuto un upgrade per una suite (che in ogni caso non era niente di che). Il tema vero rimane il prezzo. Quando è intorno ai 120-130 ha senso altrimenti direi di no. Personale disponibile e colazione niente male.…"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TEST"|"sp"|"ce"
"Samantha B"|"Ne ho girati veramente tanti de alberghi in Romagna ma come questo non lo avevo ancora trovato,Abbiamo preso la suite terrace  con il mio uomo ed è un nido di romanticismo,Ma la cosa più bella è la piscina in terrazza privata con vista mare la temperatura è  36 37 gradi quindi è veramente gustoso farsi il bagno ed rilassarsi con l idromassaggio anche se fuori non è caldissimo è veramente piacevole poi la sera ancora più bella con musica e luci,poi come entri in suite ti puoi immergere nella vasca da bagno  direttamente in camera,Stanza grandissima con 2 stanze e addirittura 2 televisioni ed infine anche il bagno e spazioso  la doccia è addirittura per 2 persone con la cromoterapia,per concludere colazione ricca sia dolce e salato,il personale è gentilissimo......L'unica cosa che io riguarderei sono le tende che la mattina entra troppa luce del giorno un po troppo presto...Comunque se volete una vacanza al top ed romantica siete nel posto giusto andate a visitarlo ed rimarrete soddisfatti.."|"You & Me Beach Hotel"|"05/07/2019"|"TEST"|"lx"|"lx"
"Sergio M"|"Comodo per chi deve andare all'Auditorium ( 10 min a piedi) la camera abbastanza spaziosa. Colazione mediocre,tutti prodotti confezionati. Rapporto qualità prezzo non dei migliori.Non ho avuto tempo di verificare se c'è di meglio vicino l'Auditorium."|"Parioli Bed & Business"|"05/07/2019"|"TEST"|"sp"|"sp"
"seri n"|"Albergo panoramicissimo  e in un oasi di tranquillità.Adatto alle coppie in viaggio di nozze un servizio assolutamente altissimo livello  5 stelle .dall colazione al ristorante. Una cura al dettaglio una perfezione incredibile in tutto . Veramente complimenti . Le divise di lino mi hanno dato una sensazione di fresheza ed eleganza . Il personale veramente qualificato"|"Hotel Villa Ducale"|"05/07/2019"|"TEST"|"lx"|"lx"
"Silvia T"|"Abbiamo dormito in rifugio, ok le camerate. Spaziosi e puliti i bagni. A pagamento docce e teli bagno. Cena... Sì potrebbe far di meglio, mai avrei detto di mangiare pasta al tonno a 3000 metri.. Però il panorama sazia gli occhi e la mente. Dar colazione sul tetto del mondo è impagabile."|"Rifugio Lagazuoi"|"05/07/2019"|"TEST"|"sp"|"ce"
"simona b"|"Ottimo campeggio, strutturato molto bene. Personale gentile e disponibile. Prezzi ottimi. Piazzole di vari tipi. Noi abbiamo usufruito di quella standard, andava benissimo. Servizi sempre puliti. Bella la zona piscina. Vicino al mare. Noleggio bici con ottime tariffe. Market super rifornito. Altro discorso merita la pizzeria senza lode e senza gloria!!! Personale sempre molto gentile ma le pizze tiepide e senza gusto.Sicuramente 5 stelle per il campeggio, ma solo 2 per la pizzeria."|"Camping Sabbiadoro"|"05/07/2019"|"TEST"|"sp"|"ce"
"StefaniaRoby"|"Abbiamo trascorso alcuni giorni in questo camping... Note positive la vicinanza al mare e al centro città,note negative l’organizzazione dello staff e la pulizia dei servizi igienici... Piazzole piccole anche se sono dotate di carico dell’acqua direttamente in piazzola... Difficilmente ci torneremo!"|"Camping Sabbiadoro"|"05/07/2019"|"TEST"|"ce"|"sp"
"stellaasche"|"In una posizione molto comoda per poi entrare a Firenze. Campeggio nuovo, attrezzatissimo, pulito lungo l'Arno.. bungalow comodi e dotati di tutto il necessario. Molto organizzati per ogni esigenza anche per chi va in Camper.. o per gli irriducibili delle tende (veramente pochissimi). Navette per andare in centro."|"Camping Village Firenze"|"05/07/2019"|"TEST"|"ce"|"sp"
"touchand"|"Sempre piacevole tornare in questo rifugio. Nonostante l’ambiente risultati un po’ datato lo staff è accogliente e questo basta e avanza. Buono il ristorante ed eccellente ovviamente la posizione. Ottimo punto di partenza per le escursioni sull’Etna."|"Rifugio Sapienza"|"05/07/2019"|"TEST"|"so"|"ce"
"vale87_11"|"Venivo in questo campeggio 15 anni fa, l'ho ritrovato un po trascurato per quanto riguarda il verde e la manutenzione delle piazzole. La pulizia invece è sempre ottima. Ho soggiornato in una casa mobile di tipo L, funzionale e nuova. In generale il personale non molto brillante.... me lo ricordavo meglio!! Resta comunque un buon campeggio, comodo per la vicinanza al centro e alla spiaggia…"|"Camping Sabbiadoro"|"05/07/2019"|"TEST"|"ce"|"ce"
"Valentina U"|"Visitata ad Agosto per una settimana.Alloggiato in un maxi caravan sicuramente non di ultima generazione ma perfettamente funzionale e confortevole.Pulizia della struttura impeccabile. Pulizia delle aree comuni ottima.Bella piscina.Ottimo per i bambini."|"Europa Camping Village"|"05/07/2019"|"TEST"|"ce"|"so"
"marco88ss"|"Buona soluzione. Ottimo livello di pulizia, servizio e tranquillità della zona. Ben servita da mezzi pubblici e non lontana dal centro ( circa 1km). Ottima colazione con personale gentile e disponibile non provato il pranzo e la cena quindi non posso recensire. Consigliato"|"AC Hotel Bologna by Marriott"|"05/07/2019"|"TEST"|"ce"|"ce"
"fRittoMisto06"|"Poche volte, in anni di viaggi, mi sono imbattuta in un hotel 4 stelle che avesse a disposizione tutto quello che si vorrebbe. Sala palestra, room garden con jacuzzi, una camera ampia e moderna e in ultimo una colazione internazionale come si deve. Appena ritorno a Bologna so già dove risiedere. Very good …"|"Savhotel"|"05/07/2019"|"TEST"|"ce"|"ce"
"gibi969"|"I gestori sono molto gentili e disponibili, la colazione e' ricca e offre molti prodotti tipici e di produzione propria. La posizione in un aranceto e la vista sull'Etna sono decisamente notevoli. Qualche problema con la televisione che non riusciva a sintonizzare i canali, francamente un problema marginale. Per raggiungere le camere dal parcheggio bisogna fare un breve tratto a piedi (cinquanta metri), in caso di pioggia puo' essere scomodo, ma garantisce silenzio e tranquillita'.…"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TEST"|"ce"|"ce"
"Enzo"|"Pasqua 2019. Tutto perfetto. Dire altro significa dimenticare qualcosa. Alessandro e la moglie cordiali e ospitali. posto tranquillo nel verde , colorato di arancione ?? e giallo ?? Buona vacanza a tutti."|"B&B Villa Valentina Taormina"|"05/07/2019"|"TEST"|"so"|"so"
"Luigi P"|"Siamo stati in questo fantastico bed and breakfast servizio da 5stelle Laura e’ alessandro sono fantastici camera super pulitissima ritorneremo sicuramente il breakfast e stato delizioso con prodotti freschi"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TEST"|"so"|"lx"
"Markusiena"|"Ci hanno assegnato una grande camera al piano rialzato molto pulita, arredata con gusto,  molta attenzione ai partcolari con comodissime prese usb e tv interattiva, bagno spazioso e dotato di ogni accessorio ma la vera sorpresa è stata la colazione... torte fatte in casa e cornetti non congelati oltre alla grande simpatia di Alessandro e Laura prodighi di molti consigli. Ottimo rapporto qualit? prezzo. Superconsigliatissimo…"|"B&B Villa Valentina Taormina"|"05/07/2019"|"TEST"|"sp"|"ce"
"Alessandro56"|"Poco distante da Taormina, questo delizioso B&B immerso in un agrumeto è stata una piacevole esperienza. Camera spaziosa, ben arredata e pulita, con tutti i comfort, compreso un buon set da bagno. Unica ( leggera) pecca la colazione del mattino non per quantità ma per qualità. Ci aspettavamo magari prodotti a km zero e non i succhi Parmalat o marmellate industriali e magari anche lo yogurt naturale. Ciò non toglie nulla al giudizio più che positivo, soprattutto verso i due titolari, gentilissimi, che si prodigano con cortesia nel venire incontro alle richieste dei clienti. Molto soddisfatti."|"B&B Villa Valentina Taormina"|"05/07/2019"|"TEST"|"ce"|"ce"
